Column1,title,directors,actors,plots,genre,runtime,keywords,등급,국적,screenCnt,audiAcc,salesAcc,개봉일,제작비,네이버_기대지수,star_buzz,Movie_Buzz
0,물괴,허종호,"김명민, 김인권, 혜리, 최우식, 이경영, 박희순, 박성웅, 이도경, 김중희, 이규복, 김강일, 조원희, 윤희수, 한소영, 고서희, 백승철, 성민수, 홍지윤, 이수미, 하은, 장준학, 강태영, 길금성, 성도현, 유독현, 강성훈, 이서준, 김호진, 윤병희, 백신, 김준범, 정승배, 이창세, 김성모, 홍준표, 한상철, 문경민, 임동욱, 이상협, 신신범, 유재상, 최청자, 이명자, 백예현, 이연준, 문일완, 윤준호, 정자영, 조영복, 양희명, 유병선, 최교식, 김규백, 백주환, 강성철, 박하원, 주예림, 최윤지, 김영철, 김정문, 박기천, 박용복, 오상준, 오태섭, 이강진, 이규현, 이형호, 장용복, 엄지만, 정우현, 함정인, 윤보현, 최서유, 장영록, 이강인, 김왕도, 강정혁, 추연규, 강전영, 주서은, 최원정, 조한나, 김성수, 이찬유, 손인용, 송동환, 이동훈, 이정훈, 오진호, 양근석, 신동훈, 김준범, 김학충, 신치영, 김민창, 박정규, 최성식, 김택호, 한도진, 최윤철, 모정민, 심재윤, 지경태, 박건우, 김상원, 박하현, 신시우, 김종윤, 송용환, 김형록, 이유환, 이양우, 임지형, 이기창, 김주연, 박소은, 박하영, 이상철, 김용호, 정효경, 최재옥","“인왕산에 흉악한 짐승이 나타나 사람을 해쳤다 하옵니다.그것을 두고 듣지도 보지도 못한 짐승이라 하여사물 물(物), 괴이할 괴(怪), 물괴라 부른다 하옵니다.”중종 22년, 거대한 물괴가 나타나 백성들을 공격하기 시작한다. 물괴와 마주친 백성들은 그 자리에서 잔인하게 죽임을 당하거나 살아남아도 역병에 걸려 끔찍한 고통 속에 결국 죽게 되고, 한양은 삽시간에 공포에 휩싸인다. 모든 것이 자신을 몰아세우는 영의정과 관료들의 계략이라 여긴 중종은 옛 내금위장 윤겸을 궁으로 불러들여 수색대를 조직한다. 윤겸과 오랜 세월을 함께한 성한과 외동딸 명, 그리고 왕이 보낸 허 선전관이 그와 함께 한다. 물괴를 쫓던 윤겸과 수색대는 곧 실로 믿을 수 없는 거대한 비밀을 마주하게 되는데…",액션,105,"조선시대,전염병,괴물,시대극/사극,사투",15세이상관람가,한국,1183,723414,6104164954,2018-09-12,12500000000,1274,1629,795
1,싱글라이더,이주영,"이병헌, 공효진, 안소희, 잭 캠벨, 양유진, 애니카 화이틀리, 케이 에크룬드, 백수장, 최준영, 이승하, 리안나 월스맨, 베네딕트 하디에, 김학선, 문수종, 김우진, 전수환, 권혁수, 정동규, 강신철, 홍희원, 황건, 이영숙, 김수진, 민지원, 진남수, 공혜진, 김태현, 박옥출, 김지웅, 박경주, 윤일식, 김성태, 우범진, 신정호, 양지수, 김태엽, 이상원, 이형구, 양혜나, 연송하, 장요한, 최병구, 제임스 라이트, 존 하딩, 딜런 헤어, 실리아 켈리, 레아 라일리, 키이스 토머스, 앤드류 도일, Cookie","그가 사라졌다그에게서 모든 것이 사라졌다증권회사의 지점장 강재훈(이병헌). 안정된 직장과 반듯한 가족, 나름 성공한 인생이라 생각했다. 어느 날 부실채권 사건으로 모든 것을 잃어버린 그는 가족이 있는 호주로 떠난다. 그러나 다른 삶을 준비하는 아내 수진의 모습을 보고 선뜻 다가가지 못하고 돌연 자취를 감추는데...완벽한 가정, 사라진 남편, 아무도 몰랐던 그의 충격적 진실이 밝혀진다.",드라마,97,"기러기아빠,호주,오스트레일리아,반전,반전영화,동물",15세이상관람가,한국,576,351276,2685519021,2017-02-22,4500000000,3838,581,406
2,허스토리,민규동,"김희애, 김해숙, 예수정, 문숙, 이용녀, 김선영, 김준한, 이유영, 이지하, 이용이, 최병모, 정인기, 이설, 한지민, 송영창, 진선규, 박명신, 김인우, 요코우치 히로키, 윤슬, 금도자, 야마노우치 타스쿠, 오상윤, 손승훈, 한건태, 이준이, 김리우, 리민, 손강국, 박용수, 오창경, 임선우, 김혜준, 김효준, 김시영, 김한상, 이승연, 김혜림, 한다경, 이율, 김연철, 최청자, 이영자, 황복순, 원근자, 홍희자, 박경현, 윤효진, 옥주리, 김주아, 박숙명, 서민경, 정미경, 김세인, 안진영, 박수진, 노준영, 노은정, 고유림, 황도위, 박혜숙, 김담로, 오진호, 이형석, 박정규, 김가은, 나서경, 이선민, 양영애, 최인환, 이현동, 정은택, 하성영, 박정헌, 안수진, 조유진, 강일생, 김성환, 문성지, 김명희, 천주섭리수녀회, 조정준, 최정화, 미유키 키노무라, 오유리, 이은경, 민주홍, 임서영, 박진수, 윤단비, 문해랑, 이명자, 박정자, 안세하, 정하담, 김용신"," 이겨야죠! 이겨야 할매들 분이 안풀리겠습니까? 1992~1998 6년의 기간, 23번의 재판, 10명의 원고단, 13명의 변호인! 시모노세키와 부산을 오가며 일본 재판부에 당당하게 맞선 할머니들과 그들을 위해 함께 싸웠던 사람들의 뜨거운 이야기가 시작된다!",드라마,121,"종군위안부,위안부,일본군위안부피해자,실화바탕,재판,관부재판,정신대,정신대할머니,법정,역사적인투쟁,투쟁",12세이상관람가,한국,696,336822,2521025949,2018-06-27,2500000000,494,943,646
3,풀잎들,홍상수,"김민희, 정진영, 기주봉, 서영화, 김새벽, 안재홍, 공민정, 안선영, 신석호, 김명수, 이유영, 강태우",커피집이 있을 것 같지 않은 골목 안으로 커피집이 있고 사람들이 커피집 안 여기저기에 앉아 얘기들을 하고 있습니다. 밖에는 건너편 슈퍼 아줌마가 심어 놓은 몇 가지 종류의 야채의 새싹들이 고무대야 안에서 자라나고 있습니다. 다른 테이블에 앉은 사람들이 시간이 지나면 서로 섞이고 서로에게 익숙해집니다. 한 여자는 그들을 관찰하고 자신의 생각을 기록하고 있습니다. 그들은 밤이 되도록까지 커피집을 떠나지 않습니다.,드라마,66,"삶과죽음,타인의 삶,언행,부산국제영화제,베를린영화제,삶의굴레,삶의순환,삶의의미",15세이상관람가,한국,54,7443,60320250,2018-10-25,100000000,162,111,6
4,영주,차성덕,"김향기, 김호정, 유재명, 탕준상, 장혜진, 김용준, 강동윤, 박옥출, 현봉식, 전우종, 김수아, 김민엽, 엄철, 지찬, 이서환, 정하경, 박정곤, 김선미, 김소숙, 김상엽, 김서영, 고강희, 박소진, 한지원, 강병걸, 김기용, 차진영, 김선미, 박진우, 문영동","나쁘고 좋은 사람들을 만났다.교통사고로 부모를 잃고 졸지에 가장이 된 영주는 자신의 학업은 포기하더라도 동생 ‘영인’이 만큼은 책임지려 한다. 하지만 영인은 어긋나기만 하고, 현실은 냉혹하기만 하다. 동생 ‘영인’의 사고로 하나 밖에 없는 집까지 팔아야 할 상황에 내 몰린‘영주’는 부모를 죽게 만든 그들을 찾아간다.",드라마,101,"부산국제영화제,부모님의죽음,장편데뷔작,복수극",12세이상관람가,한국,106,24823,192729750,2018-11-22,220000000,800,335,1679
5,여배우는 오늘도,문소리,"문소리, 강숙, 김경선, 원동연, 김래원, 이정익, 윤영균, 성병숙, 윤초희, 오민애, 이정은, 성정선, 심혜규, 이정현, 보현, 예산, 이승훈, 공상아, 박인희, 심려진, 최유정, 김숙인, 김인수, 장준환, 이지안, 윤상화, 전여빈, 이승연, 서효승, 나경찬, 박선하","배우 문소리는 오늘도 며느리, 딸, 엄마, 아내 역할로 만취 상태다. 정작 맡고 싶은 배역의 러브콜은 끊긴 지 오래고, 일년에 작품 한 개도 겨우다. 게다가 자타공인 연기파 배우 타이틀도 십팔 년 차 중견 여배우로 교체된 판국.트로피 개수 만큼은 메릴 스트립 부럽지 않은 그녀지만, 연기력과 매력 사이 자존감은 점점 흔들리기만 하는데...연기는 완전 쩔지만, 매력은 대략 쫄리는 데뷔 십팔 년 차 배우 문소리2017년, 어제는 날았고 오늘은 달리는 그녀의 자력갱생이 시작된다!",드라마,71,"며느리,딸,엄마,아내,여배우,연기,감독,성장,자력갱생",15세이상관람가,한국,46,16646,137010300,2017-09-14,100000000,1128,77,380
6,다영씨,고봉수,"신민재, 이호정, 강하람, 박원진, 백승환, 조준희, 김충길, 김정기, 김용진, 손제영, 유현정, 양현명, 고성완, 윤지혜, 표성균","퀵서비스 기사 민재는 매일 삼진물산에 도착할 택배를 기다린다. 그곳에서 일하는 다영을 짝사랑하기 때문이다. 어느 날, 민재는 회사 직원들이 다영을 심하게 냉대하는 것을 보고 사랑하는 여인을 돕기 위해 그곳에 취직한다.",드라마,61,"짝사랑,흑백영화,무성영화,애환,퀵서비스",12세이상관람가,한국,19,797,5206600,2018-12-06,1000000,69,61,2
7,상류사회,변혁,"박해일, 수애, 윤제문, 라미란, 이진욱, 김규선, 한주영, 김해곤, 남문철, 장소연, 박성훈, 하마사키 마오, 박진우, 강기영, 김승훈, 김호정, 장혁진, 고애리, 박봉서, 손화령, 송해룡, 문정수, 백현진, 박주희, 김규랑, 손진환, 박윤희, 권정민, 남기애, 남현주, 옥주리, 한이진, 정승준, 김대근, 김동욱, 오순태, 재희, 이홍내, 김형석, 김선희, 이은현, 김경민, 차명욱, 정현석, 김진성, 주예지, 강석원, 오현승, 이인아, 육효명, 유창한, 김건우, 황규연, 안찬웅, 장명진, 김지현, 이서한, 김채원, 신현숙, 여상은, 김경아, 김다솜, 김명욱, 박힘찬, 윤영경, 박민경, 이수정, 백승환, 장규미, 김가수, 김만호, 강종성, 유금옥, 오승훈, 박중현, 박정준, 이수일, 진수남, 한희정, 양정인, 황지현, 전혜영, 한예나, 김현미, 김상욱, 김성준, 김왕용, 노희중, 명도진, 문대성, 송원수, 유광수, 이강진, 임용순, 정자영, 김경원, 김근영, 김인숙, 민효경, 박숙명, 유준아, 운가령, 윤정희, 이미영, 인지선, 임유란, 장예진, 전은미, 한지은, 이정철, 이수민, 이종욱, 박래정, 한동완, 한승현, 엄태우, 지은성, 나석민, 윤승환, 김성아, 곽나연, 한희정, 오현아, 권가이, 김정현, 오수민, 김윤, 류민하, 온세미, 주보라, 민이수, 신하랑, 김다정, 김준희, 최정윤, 최영현, 박아영, 김미희, 김태희, 우혜주, 정규연, 김명선, 정지윤, 정수동, 박상준, 문형수, 고홍열, 송주원, 조준희, 유도현, 조선재, 송바울, 이소, 박지원, 주재임, 김진호, 권혁성, 전승재, 김디나, 김원덕, 양설기, 황대웅, 오준민, 이동건, 강주리, 김한, 천대만, 천정환, 이상운, 민혜연, 이새예, 차시원, 박인아, 송정아, 한창현, 설주영, 알반 레누아, 니달 엘 멜루, 엘렌 들라호드, 루드밀라 네스테로바, 로랑 르 두아이앙, 앤 토비아스, 로랑 클라렛, 레나 마니앙, 김강우","“왜, 재벌들만 겁 없이 사는 줄 알았어?”학생들에게 인기와 존경을 동시에 받는 경제학 교수 ‘태준’(박해일)은 우연한 기회를 통해 촉망받는 정치 신인으로 국회의원 선거에 출마하게 된다. 한편 그의 아내이자 미래미술관의 부관장 ‘수연’(수애)은 재개관전을 통해 관장 자리에 오르려 한다.그러나 ‘수연’의 미술품 거래와 ‘태준’의 선거 출마 뒤에 미래그룹과 민국당의 어두운 거래가 있었다는 것이 밝혀지고 두 사람은 완벽한 상류사회 입성을 눈앞에 두고 위기에 처한다. 이 기회를 절대 놓칠 수 없는 ‘태준’과 ‘수연’ 부부는 민국당과 미래그룹에게 새로운 거래를 제안하게 되는데...가장 아름답지만 가장 추악한 곳,그곳으로 들어간다!",드라마,120,"욕망,상류층,대학교수,야망,국회의원선거,암거래,상류사회,정치권력,권력쟁취,불륜",청소년관람불가,한국,867,768442,6313416163,2018-08-29,8000000000,364,752,432
8,어른도감,김인선,"엄태구, 이재인, 서정연, 김희창, 황정민, 박성연, 송별, 이영숙, 장혜진, 공상아, 최재섭, 이정은, 홍원기, 김새벽, 손강국, 이윤희, 김준범, 황순미, 이동욱, 김종여, 김호연, 하복음, 오운백, 박근범, 유정온, 최덕문, 김기현, 김민주, 김선형, 김소윤, 김조영현, 살로메 뒤보아, 윤원영, 이재우, 이제희, 최이슬, 최호태, 김연주, 김이다, 김현수, 우혜진, 차주동, 홍지온, 강원, 김진황, 박신란, 오기덕, 이슬기, 김성무, 박진주, 김수환, 박강, 김경옥, 유세하, 이후종, 임향예, 정경애, 정부영, 정재환, 최윤주, 김윤수, 이강인, 장명길, 최민석, 김지혜, 배준성, 손경수, 오성호, 이진희, 장만민, 여서진, 오수빈, 이상연, 이지혜, 최유빈, 권효진, 김보희, 김성민, 김예원, 김원준, 김이다, 김현숙, 박지은, 오기덕, 유병호, 이경재, 이명희, 이옥섭, 정우진, 차주동, 홍민규, 곽경호, 김도은, 백혜정, 오정민, 원하라, 임창욱","“도대체 진짜 어른 맞아요?”열 네 살 경언은 아버지 장례식장에서 생면부지의 삼촌 재민을 만난다. 얼치기 사기꾼 재민은 경언 앞에 남겨진 보험금을 모두 잃고, 두 사람은 돈을 마련하기 위해 동네 약사를 상대로 부녀를 가장한 발칙한 사기극을 벌이게 된다.",코미디,92,"사기극,가족,위로,부녀관계,어른동화,기분전환",12세이상관람가,한국,58,7056,53539700,2018-08-23,70000000,95,198,7
9,궁합,홍창표,"심은경, 이승기, 김상경, 연우진, 강민혁, 최우식, 조복래, 박선영, 이윤건, 김도엽, 박충선, 이용녀, 조수향, 조정은, 이수지, 박진주, 민호, 윤유선, 손종학, 주다영, 송영재, 김서현, 김호준, 최승일, 조미녀, 신혜경, 손지윤, 한성연, 장혜숙, 박옥출, 이겨울, 이선빈, 민아름, 박채경, 김정겸, 신덕규, 최준호, 윤진하, 우범진, 이원욱, 권반석, 구민혁, 곽진, 조재이, 임성표, 광복동, 임윤정, 이주연, 신하연, 강소이, 민송아, 정천석, 김욱, 황두하, 박춘근, 김상혁, 이동희, 안택균, 이정현, 변부의, 주영심, 주윤수, 최우진, 이한서, 박준서, 백승호, 황준우, 이수연, 김가은, 백승찬, 정인영, 김윤섭, 박지일, 박호산, 한갑수, 김주헌, 유정호, 노현주, 박원호, 하유미, 한수연, 장지선, 조성환, 최문수, 송광원, 이슬아, 조만주, 이재국, 강현우, 서우진, 정인태, 최교식, 한우진, 이영수, 김성훈, 윤민수, 서명균, 조우람, 손성찬, 김옥경, 한지안, 이지민, 이소현, 윤예원, 김봉조, 판유걸, 강윤제, 정재훈, 양남철, 주양균, 박찬훈, 유지서, 이상진, 서진솔, 김분례, 고니, 안지호, 이나윤, 장대웅, 임예슬, 곽지혜, 이서연, 이지성, 정민규, 홍동영, 김보경, 노은솔, 배지혜, 이수윤, 유다영, 허나경, 전승화, 최인철, 문우빈, 김치우","“세상의 모든 인연에는 궁합이 있다!” 관상은 잘 보았소? 이제 궁합을 봐드리지!극심한 흉년이 지속되던 조선시대, 송화옹주(심은경)의 혼사만이 가뭄을 해소할 것이라 믿는 왕(김상경)은 대대적인 부마 간택을 실시하고, 조선 최고의 역술가 서도윤(이승기)은 부마 후보들과 송화옹주의 궁합풀이를 맡게 된다. 사나운 팔자로 소문나 과거 혼담을 거절당한 이력의 송화옹주는 얼굴도 모르는 사람을 남편으로 맞이할 수 없다고 판단하고  부마 후보들의 사주단자를 훔쳐 궐 밖으로 나가 후보들을 차례로 염탐하기 시작한다. 송화옹주가 사주단자를 훔친 궁녀라고 오해한 서도윤은 사주단자를 되찾기 위해 그녀의 여정에 함께 하게 되는데..  야심찬 능력남 윤시경(연우진), 경국지색의 절세미남 강휘(강민혁), 효심 지극한 매너남 남치호(최우식)에 대세 연하남까지! 조선의 팔자를 바꿀 최고의 합(合)을 찾아라!",코미디,110,"인연,궁합,조선시대,부마 간택,혼사,사주팔자",12세이상관람가,한국,966,1340117,10478875438,2018-02-28,6300000000,5828,809,1202
10,리틀 포레스트,임순례,"김태리, 류준열, 문소리, 진기주, 전국향, 박원상, 정준원, 오구, 진원, 장재희, 강혜은, 강민지, 김현지, 홍성덕, 김예슬, 박종휘, 오수엽, 김기홍, 이성준, 최성순, 조석탑, 이순자, 하혜자, 이태영, 강민경, 남상백, 전상진, 김철환, 김수현, 이은숙, 국지용, 오동현, 김호, 임진영, 박종찬, 박민지, 조오현, 권승환, 권영숙, 김창옥, 김화자, 장경자, 김명희, 김혜숙, 이명자, 권태랑, 권무영, 김정은, 김신아, 김연준, 김준휘, 고이지선, 김주은, 이유진, 김지윤, 이송, 홍지숙, 한상효, 박준관, 김자선, 홍세나, 박충환, 변하늬, 김홍경, 김다정, 박하연, 김다나, 우주현, 추정훈, 박성준, 하성훈, 최원석, 박미현, 임상수, 박매화, 김동혁, 임정희, 이광용, 임성수, 박경후, 김희만, 김혁, 김은영, 최환혁, 오진아, 이상준, 이금양, 송기범, 유제형, 하대용, 윤이창, 송정호, 김재훈, 전대욱, 차순형, 권윤현, 이호경, 박수현, 김이수, 한우리, 김소정, 류장현, 박정회, 최혜림, 옥수분","“잠시 쉬어가도, 달라도, 평범해도 괜찮아!모든 것이 괜찮은 청춘들의 아주 특별한 사계절 이야기”시험, 연애, 취업… 뭐하나 뜻대로 되지 않는 일상을 잠시 멈추고  고향으로 돌아온 혜원은 오랜 친구인 재하와 은숙을 만난다.  남들과는 다른, 자신만의 삶을 살기 위해 고향으로 돌아온 ‘재하’,  평범한 일상에서의 일탈을 꿈꾸는 ‘은숙’과 함께 직접 키운 농작물로 한끼 한끼를 만들어 먹으며 겨울에서 봄, 그리고 여름, 가을을 보내고 다시 겨울을 맞이하게 된 혜원.그렇게 특별한 사계절을 보내며 고향으로 돌아온 진짜 이유를 깨닫게 된 혜원은 새로운 봄을 맞이하기 위한 첫 발을 내딛는데…",드라마,103,"일본만화원작,일본영화리메이크,귀향,귀농,힐링,삼시세끼,시골",전체관람가,한국,884,1505560,11924818185,2018-02-28,1500000000,5613,1715,737
11,튼튼이의 모험,고봉수,"김충길, 백승환, 신민재, 고성완, 윤지혜, 조준희, 박원진, 김채이, 김창은, 정상준, 김윤정, 나이순, 표성균, 이현재, 서베로니카, 김정기, 김진순, 임혜인, 이슬기, 정주연, 노은경, 전경민, 서남열, 이경행, 이건창, 채수빈, 최종술, 양종혁, 이호정, 이민주, 이영현, 문성주, 송기엽, 윤영민, 윤성용, 권하늘, 김홍영, 하늘","전라남도 함평에 위치한 대풍 고등학교 레슬링부가 존폐의 갈림길에 서 있다. 비인기 종목인 지라 부원들이 다 떠나가고 남은 인원은 결손가정 학생 두 명이 고작이다. 레슬링부 코치 상규는 졸지에 직장을 잃고 버스 기사 일을 하며 먹고 산다. 상규 코치는 자신의 제자들에게 대회에 나갈 마지막 기회를 주기 위하여 학교장을 끈질기게 설득한다. 결국, 교장의 배려로 이들에게 마지막 2주가 주어진다. [제43회 서울독립영화제]",코미디,106,"고등학교,레슬링,레슬링부,해체위기,스포츠영화",15세이상관람가,한국,88,4476,34307600,2018-06-21,20000000,212,188,6
12,목격자,조규장,"이성민, 김상호, 진경, 곽시양, 배정화, 신승환, 정유민, 연제욱, 황영희, 손종학, 이재우, 이민웅, 장유, 박봄, 김학선, 이동희, 양희명, 최정인, 서정규, 김남희, 김자영, 전현숙, 박지후, 최정화, 최솔희, 조승연, 박채인, 안세호, 정재광, 윤민수, 우지현, 진수남, 김봉란, 김재철, 이승준, 강영택, 이시훈, 이혜민, 김태리, 우상기, 박경훈, 장태민, 김명지, 나경철, 김성균, 박성근","“살려주세요!”모두가 잠든 새벽, 비명소리를 듣고 베란다에 나간 ‘상훈’(이성민)은 살인사건을 목격하게 된다.신고를 하려던 순간, 손가락을 까딱거리며 자신의 아파트 층수를 세는 범인 ‘태호’(곽시양)와 눈이 마주치게 되는데… 살인을 목격한 순간, 나는 놈의 다음 타겟이 되었다.올 여름, 단 1초도 멈출 수 없는 추격이 시작된다!",스릴러,111,"살인목격,연쇄살인,현대사회,무관심,이기심",15세이상관람가,한국,1021,2524086,21732042597,2018-08-15,7000000000,583,1657,505
13,더 테이블,김종관,"임수정, 정유미, 정은채, 한예리, 김혜옥, 연우진, 정준원, 전성우, 임선우, 장해민, 정예녹, 정규환, 안성문, 황유진, 이재명, 이재훈, 김형빈, 박윤주, 남혜영, 고아라","카페에서 남자와 여자가 마주 보고 앉아 대화를 나눈다. 남자는 유럽여행을 다녀온 듯하고 여자는 오랜만에 만나자고 한 이 남자가 어딘가 마음에 안 드는 듯하다. 대화는 금방이라도 중단될 듯 위태롭게 이어지는데 한 순간 남자의 진심이 여자에게 와 닿는다. 그녀의 표정에 짧은 미소가 번진다.  더 테이블 은 카페 테이블에 마주 앉은 두 사람의 대화로 이뤄진 영화다.첫 번째 에피소드는 예전 남자친구를 만나 대화를 나누는 어느 여배우의 이야기, 두 번째 에피소드는 하룻밤의 사랑 이후 여행을 떠난 남자와 여자의 만남, 세 번째 에피소드는 사기 결혼을 위해 가짜 친정엄마 역할을 해줄 사람을 만나는 내용, 네 번째 에피소드는 결혼을 앞둔 여자가 예전 남자친구에게 결혼 전까지 자기와 만나자고 제안하는 이야기이다. 네 가지 에피소드 모두 온전히 두 인물의 대사와 표정에 의지해서 진행되기에 관객은 주어진 정보만으로 여러 상황을 상상하게 된다. 정유미, 정은채, 한예리, 임수정 등 네 여배우의 각자 다른 매력이 돋보인다",드라마,72,커피,12세이상관람가,한국,272,103054,830762100,2017-08-24,200000000,3207,579,449
14,마녀,박훈정,"김다미, 조민수, 박희순, 최우식, 최정우, 오미희, 다은, 김하나, 이시우, 이주원, 고민시, 김병옥, 이시훈, 백승철, 우민규, 김종훈, 서한결, 박종환, 진영준, 곽진석, 백종환, 남경민, 박상훈, 김도혁, 고봉구, 서정구, 이정형, 박우재, 김한솔, 박신우, 임상혁, 명홍진, 송형수, 여무영, 현봉식, 박원진, 설우신, 백규현, 김종면, 유승원, 이상용, 정재붕, 최병주, 박정수, 조제웅, 김용운, 조광희, 제아, 모그, 한승윤, 정우림, 송민수, 김승우, 장민재, 권용석, 이강곤, 최현종, 김은영, 서영희, 백현민, 이하영, 김기정, 김관수, 신재민, 김찬욱, 권혁성, 조영길, 박근연, 이선재, 김응천, 임상혁, 정지민, 신소율, 김해승, 이채현, 전아연, 조수빈, 김기훈, 박시현, 이나림, 윤인혜, 김우주, 송내소리, 김영민, 전정규, 박상현, 신태환, 정승채, 안정현, 박불무, 박시안, 김종범, 이인선, 김린, 이혜성, 신건호, 김영원, 김서경, 권민선, 김수현, 이수안, 이기영, 권태원","10년 전 의문의 사고가 일어난 시설에서 홀로 탈출한 후 모든 기억을 잃은 ‘자윤’. 나이도, 이름도 모르는 자신을 거두고 키워준 노부부의 보살핌으로 씩씩하고 밝은 여고생으로 자라났다. 어려운 집안사정을 돕기 위해 상금이 걸린 오디션 프로그램에 출연한 자윤, 방송이 나간 직후부터 의문의 인물들이 그녀 앞에 나타난다.  자윤의 주변을 맴돌며 날카롭게 지켜보는 남자 ‘귀공자’, 그리고 과거 사고가 일어난 시점부터 사라진 아이를 찾던 ‘닥터 백’과 ‘미스터 최’까지 자신은 전혀 기억하지 못하는 그들의 등장으로, 자윤은 혼란에 휩싸이게 되는데...!그들이 나타난 후 모든 것이 바뀌었다.",미스터리,126,"살인병기,고등학생,두통,의문의사고,오디션프로그램,여고생,유전자조작,뇌,인체실험,생체실험",15세이상관람가,한국,1117,3189091,27242029463,2018-06-27,6500000000,275,984,1788
15,당신의 부탁,이동은,"임수정, 윤찬영, 이상희, 서신애, 한주완, 서정연, 김태우, 오미연, 김선영, 김민재, 전성애, 박옥출, 장혜진, 김자영, 박찬국, 우지현, 공희철, 이화룡, 안민영, 조유정, 장세환, 박희은, 강태영, 임용순, 조두리, 이혜린, 이해인, 이원희, 김동혁, 김슬기, 문상호, 김건우, 주은실, 이유진, 이유정, 조영숙, 정미숙, 김소진, 김기연, 구지헌, 김서린, 이아린, 이승주, 권호세, 권세영",“제가 엄마는 처음이라서요”2년 전 사고로 남편을 잃은 32살 효진(임수정)은 그녀의 절친한 친구인 미란(이상희)과 동네 작은 공부방을 하며 혼자 살아간다.평범한 삶을 살아가던 효진 앞에 어느날 갑자기 죽은 남편의 아들인 16살 종욱(윤찬영)이 나타난다. 오갈 데가 없어진 종욱의 엄마가 되어달라는 당황스러운 부탁. 효진은 고민 끝에 피 한 방울 섞이지 않은 종욱의 엄마가 되기로 결심하는데… 2018년 꼭 들어주고 싶은 첫 번째 부탁이 찾아옵니다,드라마,108,"미망인,의붓아들,엄마와아들,동거",15세이상관람가,한국,371,25652,205547428,2018-04-19,700000000,354,353,408
16,인랑,김지운,"강동원, 한효주, 정우성, 김무열, 한예리, 최민호, 허준호, 박병은, 신은수, 김법래, 이동하, 최진호, 정원중, 유상재, 박성택, 강현중, 김재영, 옥자연, 김현준, 김예소리, 양도현, 이설구, 정미남, 심소영, 허정희, 조운, 김종태, 문재원, 이가경, 이동희, 최마로, 선호삼, 이확광, 서영민, 이찬희, 김효준, 조현섭, 홍승일, 박재한, 조윤담, 전진서, 나영우, 박영서, 진애리, 천아영, 장여빈, 임서영, 박형수, 이승진, 임철형, 고지은, 김예은, 손경원, 김이슬, 문예원, 전여빈, 권영운, 김명기, 정지웅, 엄이준, 신재민, 안성봉, 김성호, 김동현, 안찬웅, 장원형, 백승익, 김의건, 권혁범, 최창균, 전광진, 최윤라, 송지현, 이진한, 이제연, 김철윤, 김현창, 박주희, 허지원, 조아라, 이상이, 김기범, 김우래, 권이준, 김우진, 박석원, 이담, 신성일, 이시형, 정기섭, 김문학, 홍인, 정형석, 박정식, 김보령, 문주연, 김준범, 강성현, 강현택, 강호석, 곽태석, 구설아, 권용식, 권정우, 권혁성, 금강산, 김기태, 김길로, 김다한, 김도율, 김동인, 김두엄, 김바울, 김봉준, 김상훈, 김선주, 김성곤, 김성광, 김성규, 김성엽, 김시원, 김양수, 김영호, 김원기, 김정호, 김지아, 김찬욱, 김태윤, 김태환, 김형준, 김혜성, 김홍석, 나은범, 도인헌, 명석근, 문수, 문승현, 문진승, 문창준, 민일홍, 박기수, 박민웅, 박민준, 박보선, 박상준, 박상혁, 박성범, 박성연, 박조원, 박준혁, 박창서, 박현, 배성민, 배진호, 서영재, 서이우, 소윤호, 손우진, 송준형, 송창경, 신형근, 안홍, 여선정, 연재성, 오승호, 오윤건, 오재서, 유선호, 유시몬, 유재홍, 유지용, 윤성욱, 윤준희, 윤호림, 이강산, 이근혁, 이대경, 이동구, 이동기, 이로이, 이상재, 이선민, 이선영, 이수정, 이승민, 이준형, 이지현, 이창원, 이한호, 이호균, 임지형, 장정환, 장창완, 장필상, 장현, 전사언, 전유림, 정경훈, 정광희, 정교, 정승훈, 정재훈, 정지원, 정한빈, 정현수, 정훈, 조영지, 조영환, 조정우, 조한결, 차정민, 최규석, 최명철, 최용수, 최지민, 최혜정, 추두영, 한도진, 한병민, 한희경, 허태용, 홍은진, 황윤성, 황재운, 황훈","남북한 정부가 통일준비 5개년 계획을 선포한 후, 강대국의 경제 제재가 이어지고, 민생이 악화되는 등 지옥 같은 시간이 이어지고 있는 혼돈의 2029년. 통일에 반대하는 반정부 무장테러단체 ‘섹트’가 등장하자 ‘섹트’를 진압하기 위해 설립된 대통령 직속의 새로운 경찰조직 ‘특기대’가 정국의 주도권을 장악한다. 이에 입지가 줄어든 정보기관 ‘공안부’는 ‘특기대’를 말살할 음모를 꾸민다. 절대 권력기관 간의 피비린내 나는 암투 사이, ‘특기대’ 내 비밀조직 ‘인랑’에 대한 소문이 떠도는데… 늑대로 불린 인간병기 '인랑'",SF,138,"만화원작,애니메이션원작,일본만화원작,가상미래,미래가상도시,일본영화리메이크,남북문제,남북통일,비밀조직",15세이상관람가,한국,1085,897548,6994748173,2018-07-25,23000000000,2941,2115,753
